partner_country,value_exported_usd,trade_balance_usd,share_in_base_country_exports_pct,quantity_exported,quantity_unit,unit_value_usd,growth_value_5y_pct,growth_qty_5y_pct,growth_value_1y_pct,ranking_in_world_imports,share_in_world_imports_pct,tariff_faced_pct
Somalia,,7000.0,,,nan,,,,,154.0,0.0,0.0
Burundi,,7000.0,,,nan,,,,,174.0,0.0,0.0
Cabo Verde,,6000.0,,,nan,,,,,,,0.0
Nicaragua,,5000.0,,,nan,,,,,103.0,0.0,0.0
Lesotho,,5000.0,,,nan,,,,,123.0,0.0,0.0
Saint Lucia,,4000.0,,,nan,,,,,136.0,0.0,0.0
Central African Republic,,4000.0,,,nan,,,,,,,0.0
Suriname,,3000.0,,,nan,,,,,155.0,0.0,0.0
French Polynesia,,3000.0,,,nan,,,,,165.0,0.0,0.0
Maldives,,3000.0,,,nan,,,,,,,0.0
Yemen,,3000.0,,,nan,,,,,,,0.0
Fiji,,2000.0,,,nan,,,,,99.0,0.0,0.0
Papua New Guinea,,2000.0,,,nan,,,,,104.0,0.0,0.0
Faroe Islands,,2000.0,,,nan,,,,,148.0,0.0,0.0
Samoa,,2000.0,,,nan,,,,,187.0,0.0,0.0
Bhutan,,2000.0,,,nan,,,,,,,0.0
Comoros,,1000.0,,,nan,,,,,181.0,0.0,0.0
Free Zones,,,,,nan,,,,,56.0,0.0,
Russian Federation,,,,,nan,,,,,59.0,0.0,0.0
"Korea, Democratic People's Republic of",,,,,nan,,,,,97.0,0.0,0.0
"Micronesia, Federated States of",,,,,nan,,,,,112.0,0.0,0.0
Barbados,,,,,nan,,,,,118.0,0.0,0.0
United States Minor Outlying Islands,,,,,nan,,,,,121.0,0.0,0.0
Tokelau,,,,,nan,,,,,129.0,0.0,0.0
Grenada,,,,,nan,,,,,134.0,0.0,0.0
Cocos (Keeling) Islands,,,,,nan,,,,,138.0,0.0,0.0
Curaçao,,,,,nan,,,,,140.0,0.0,
Seychelles,,,,,nan,,,,,141.0,0.0,0.0
Saint Kitts and Nevis,,,,,nan,,,,,145.0,0.0,0.0
Belize,,,,,nan,,,,,150.0,0.0,0.0
Bermuda,,,,,nan,,,,,153.0,0.0,0.0
British Virgin Islands,,,,,nan,,,,,159.0,0.0,0.0
Vanuatu,,,,,nan,,,,,166.0,0.0,0.0
Timor-Leste,,,,,nan,,,,,170.0,0.0,0.0
Dominica,,,,,nan,,,,,173.0,0.0,0.0
Syrian Arab Republic,,,,,nan,,,,,176.0,0.0,0.0
Tuvalu,,,,,nan,,,,,178.0,0.0,0.0
Sint Maarten (Dutch part),,,,,nan,,,,,180.0,0.0,
Aruba,,,,,nan,,,,,183.0,0.0,0.0
Christmas Island,,,,,nan,,,,,186.0,0.0,0.0
"Bonaire, Sint Eustatius and Saba",,,,,nan,,,,,188.0,0.0,
Eritrea,,,,,nan,,,,,190.0,0.0,0.0
Anguilla,,,,,nan,,,,,192.0,0.0,0.0
Tonga,,,,,nan,,,,,193.0,0.0,0.0
Falkland Islands (Malvinas),,,,,nan,,,,,194.0,0.0,0.0
Saint Pierre and Miquelon,,,,,nan,,,,,197.0,0.0,0.0
Kiribati,,,,,nan,,,,,198.0,0.0,0.0
Pitcairn,,,,,nan,,,,,199.0,0.0,0.0
Niue,,,,,nan,,,,,201.0,0.0,0.0
British Indian Ocean Territory,,,,,nan,,,,,202.0,0.0,0.0
Saint Vincent and the Grenadines,,,,,nan,,,,,203.0,0.0,0.0
French Southern and Antarctic Territories,,,,,nan,,,,,204.0,0.0,0.0
Sao Tome and Principe,,,,,nan,,,,,205.0,0.0,0.0
Solomon Islands,,,,,nan,,,,,206.0,0.0,0.0
