Importers	Imported value in 2020	Imported value in 2021	Imported value in 2022	Imported value in 2023	Imported value in 2024	
"Lao People's Democratic Republic"	1947	4362	2749	2625	10714	
"Guyana"	7668	10897	8795	9630	10475	
"Bhutan"	6022	16165	10746	7202	10429	
"French Polynesia"	12231	14349	11698	10203	10230	
"Rwanda"	15374	22307	28472	22266	10177	
"Bolivia, Plurinational State of"	14640	27487	22901	13950	9795	
"Guinea"	2749	3302	4768	5060	8282	
"Cameroon"	8020	2882	3528	3811	7851	
"Bahamas"	7029	6639	7687	8004	7762	
"Congo, Democratic Republic of the"	3047	7004	7862	6892	7555	
"New Caledonia"	9753	8441	8413	9254	7202	
"Togo"	2058	3184	2566	5726	7150	
"Cambodia"	2925	3426	11800	7255	6430	
"Lesotho"	2203	4207	4966	4803	6216	
"Curaçao"	6083	6246	5903	6578	6172	
"Cuba"	4649	8234	10498	8855	5859	
"Madagascar"	5689	6474	7577	6661	5618	
"Belize"	5825	4798	4589	5458	5487	
"Niger"	1855	2227	2563	1985	5242	
"Burkina Faso"	6434	6270	8586	6690	5048	
"Benin"	2237	2805	5487	7604	4876	
"Eswatini"	4000	8300	7339	6335	4761	
"Seychelles"	2077	3227	3334	3473	4502	
"Burundi"	3047	3692	4838	4301	4208	
"Gabon"	3665	4898	4860	5798	4090	
"Bermuda"	2735	3765	2329	3365	3907	
"Congo"	2587	1682	2979	3356	3876	
"Chad"	3328	1075	3030	1886	3606	
"Sudan"	7455	10980	6424	6476	3554	
"Aruba"	6028	4781	5048	4901	3425	
"Mali"	1807	18080	4093	4417	3202	
"Grenada"	7696	3939	2140	2195	3050	
"Greenland"	4258	3289	3718	3001	3011	
"Libya, State of"	11067	31295	23134	19551	2727	
"Suriname"	922	986	1894	1925	2715	
"Mauritania"	1153	1633	670	1454	2653	
"Timor-Leste"	881	2162	2745	2200	2571	
"Syrian Arab Republic"	3991	2555	3248	1919	2509	
"Afghanistan"	17305	10689	17051	31094	2375	
"Myanmar"	54840	33243	23254	2888	2283	
"Vanuatu"	1277	2697	2710	1835	2195	
"Guinea-Bissau"	340	767	700	759	2194	
"Central African Republic"	3843	3723	2622	2834	2010	
"Saint Lucia"	6129	1891	2669	3142	1948	
"Haiti"	2996	2874	2581	2485	1760	
"Tajikistan"	1162	1269	1904	1970	1724	
"Gibraltar"	672	562	421	907	1689	
"Liberia"	1076	1186	2316	903	1689	
"Iran, Islamic Republic of"	94275	209023	290458	295525	1637	
"Sierra Leone"	1417	1883	2398	2759	1495	
"Antigua and Barbuda"	1513	2187	1243	1105	1486	
"Cabo Verde"	3015	2238	1781	1881	1424	
"Solomon Islands"	910	1106	1474	1793	1309	
"South Sudan"	2920	3389	1817	1512	1158	
"Turks and Caicos Islands"	402	1338	657	2054	1150	
"Equatorial Guinea"	1689	1440	940	2175	1079	
"Somalia"	3786	9143	82421	43536	999	
"United States Minor Outlying Islands"	1100	1294	1079	982	977	
"Ship stores and bunkers"	1863	337	754	915	949	
"British Virgin Islands"	1614	1144	1202	987	896	
"Samoa"	455	722	1055	770	794	
"Sao Tome and Principe"	269	1051	542	515	736	
"Cook Islands"			616	671	731	
"Tonga"	771	1448	2149	497	723	
"Saint Kitts and Nevis"	1415	705	775	1473	634	
"Djibouti"		2656	2586	2956	608	
"Eritrea"	1214	273	2580	749	596	
"Marshall Islands"	122	299	610	165	578	
"Saint Pierre and Miquelon"	903	944	668	460	506	
"Kiribati"	416	691	447	314	501	
"Free Zones"	11471	13721	5517	2379	497	
"Saint Vincent and the Grenadines"	2060	2148	1558	2720	470	
"Falkland Islands (Malvinas)"	67	29	195	177	456	
"Anguilla"	298	326	273	526	381	
"Yemen"	886	1058	2340	2099	345	
"Gambia"	157	368	251	259	330	
"Dominica"	2027	2416	1264	1077	236	
"Comoros"	182	561	172	239	235	
"Norfolk Island"		364	46	27	222	
"Bonaire, Sint Eustatius and Saba"	1585	1424	976	428	221	
"Palestine, State of"	21637	25648	31828	24127	208	
"Palau"	309	476	108	132	194	
"Montserrat"	253	219	270	243	188	
"Tuvalu"	112	272	128	143	181	
"Nauru"	45	169	262	144	171	
"Wallis and Futuna Islands"	165	109	18	86	122	
"Micronesia, Federated States of"	471	404	339	364	117	
"Sint Maarten (Dutch part)"	66	56	62	68	61	
"Niue"	3	10	36	6	42	
"Korea, Democratic People's Republic of"					34	
"French Southern and Antarctic Territories"	14	342	31		23	
"Cocos (Keeling) Islands"	53	19	155	30	23	
"Northern Mariana Islands"	6	24	248	7	21	
"Saint Helena"	18	20	20	6	14	
"Bouvet Island"					14	
"Christmas Island"	52	110	47	79	13	
"Guam"	3	39	5	27	13	
"British Indian Ocean Territory"					7	
"American Samoa"		2	3		5	
"Pitcairn"			15			
"Tokelau"		14	2	5		
"Western Sahara"		3		23		
