Importers	2020-Imported quantity	2020-Unit	2021-Imported quantity	2021-Unit	2022-Imported quantity	2022-Unit	2023-Imported quantity	2023-Unit	2024-Imported quantity	2024-Unit	
"Cameroon"	139	Tons	135	Tons	122	Tons	71	Tons	No Quantity	No Quantity	
"Belarus"	916	Tons	973	Tons	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Bangladesh"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Algeria"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Afghanistan"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	55	Tons	No Quantity	No Quantity	
"Yemen"	1108	Tons	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Venezuela, Bolivarian Republic of"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"United States Minor Outlying Islands"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Ship stores and bunkers"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Free Zones"	No Quantity	No Quantity	4	Tons	9	Tons	15	Tons			
"Sudan"	No Quantity	No Quantity	60	Tons	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Eswatini"	15	Tons	23	Tons	21	Tons	17	Tons	No Quantity	No Quantity	
"United Arab Emirates"	3837	Tons	3847	Tons	4823	Tons	5748	Tons	No Quantity	No Quantity	
"Tunisia"	556	Tons	637	Tons	495	Tons	504	Tons	No Quantity	No Quantity	
"Turks and Caicos Islands"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Tuvalu"					0	Tons	7	Units	No Quantity	No Quantity	
"Saint Vincent and the Grenadines"	4	Tons	9	Tons	8	Tons	6	Tons	No Quantity	No Quantity	
"Sao Tome and Principe"	4	Tons	6	Tons	6	Tons	8	Tons	No Quantity	No Quantity	
"Saint Lucia"	8	Tons	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Sierra Leone"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Somalia"	No Quantity	No Quantity	No Quantity	No Quantity	5	Tons	No Quantity	No Quantity	No Quantity	No Quantity	
"Micronesia, Federated States of"	No Quantity	No Quantity	591	Units	0	Tons	No Quantity	No Quantity			
"Palau"	No Quantity	No Quantity			1	Tons	1	Tons	No Quantity	No Quantity	
"Russian Federation"	6091	Tons	7434	Tons	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Rwanda"	36	Tons	28	Tons	15	Tons	No Quantity	No Quantity	No Quantity	No Quantity	
"Saint Helena"	8	Tons	0	Tons	0	Tons	No Quantity	No Quantity	No Quantity	No Quantity	
