Importers	Exported value in 2020	Exported value in 2021	Exported value in 2022	Exported value in 2023	Exported value in 2024	
"Denmark"	127272	279553	476127	262619	197642	
"Sweden"	193821	274132	243804	163073	173580	
"Israel"	273323	271189	243070	201710	171442	
"Austria"	226614	258718	239214	208140	164315	
"Panama"	270506	188578	129695	99324	151827	
"Argentina"	154918	217332	182768	129039	127853	
"Romania"	128506	164757	136479	91178	107524	
"Ecuador"	48248	84277	91307	104594	105259	
"Brazil"	144509	197838	158855	83000	103879	
"Finland"	77223	81530	67187	57542	81117	
"Kyrgyzstan"	155	1172	2103	2428	79381	
"Portugal"	104606	247611	98438	59926	76295	
"Azerbaijan"	17812	34302	51504	53373	59172	
"Armenia"	1711	1195	3940	12223	55561	
"Tunisia"	20948	22029	32473	30526	52655	
"Bulgaria"	28473	54712	59187	46559	51407	
"Georgia"	18394	24924	44312	44566	48840	
"Uzbekistan"	1799	2751	16284	14458	47242	
"El Salvador"	7976	14676	37041	32422	45255	
"Lithuania"	49417	56542	55944	47277	41210	
"Serbia"	14988	17640	21068	10859	39263	
"Cambodia"	2990	2839	5528	24536	38456	
"Morocco"	23163	24576	17374	13525	35898	
"Uruguay"	26999	43070	35567	45277	34261	
"Norway"	40093	40631	46796	23564	33282	
"Costa Rica"	19949	39772	34480	21003	31031	
"Guatemala"	14862	35118	40605	31917	30983	
"Croatia"	40715	28133	22584	26624	28853	
"Ireland"	49062	52771	51552	28989	28705	
"Nigeria"	7486	28998	58958	32455	24804	
"Bangladesh"	42664	71940	51162	12728	24275	
"Ghana"	15383	24702	15464	28212	21365	
"Uganda"	1131	4157	5754	1687	21066	
"Mongolia"	5536	9993	5682	14406	19397	
"Myanmar"	28835	14229	17546	22876	19202	
"Sri Lanka"	46054	91473	17553	16520	18600	
"Iceland"	8401	8443	12321	11555	18323	
"Paraguay"	11880	22331	17784	18057	17151	
"Slovakia"	13474	27443	24791	27937	16786	
"Latvia"	25161	28805	30016	27997	16077	
"Iraq"	6459	1658	830	733	15945	
"Qatar"	20343	29822	26746	15123	15744	
"Belarus"	12660	8220	10283	17085	13682	
"Slovenia"	16042	15981	15388	14593	12405	
"Angola"	1828	4434	6966	4733	11823	
"Jordan"	9980	33617	5676	6840	10568	
"Pakistan"	30524	30861	40458	13630	10394	
"Ukraine"	142501	195895	89744	12329	9925	
"Egypt"	16915	22481	6793	5860	9876	
"Estonia"	8643	8678	10276	11002	9771	
"Ethiopia"	3566	590	557	882	9529	
"Turkmenistan"	7603	11430	9921	7653	9375	
"Nepal"	3513	8885	5387	5087	9238	
"Bosnia and Herzegovina"	2024	8054	5735	7999	9075	
"Oman"	5652	16328	10850	3605	9043	
"Mauritius"	4258	12592	6312	8105	8642	
"Luxembourg"	554085	876864	39316	41560	8438	
"Côte d'Ivoire"	358	1668	5604	10727	8166	
"Macao, China"	6768	8617	25046	13544	7354	
"Kenya"	3466	3567	6919	5713	7268	
"Kuwait"	9190	4960	6965	4264	6697	
"Tanzania, United Republic of"	4526	5583	41318	7536	5287	
"Honduras"	2885	10456	7036	7929	5243	
"Cyprus"	5106	10696	5729	5060	4581	
"Lao People's Democratic Republic"	652	1040	360	924	4035	
"Jamaica"	547	343	1007	2406	3546	
"Venezuela, Bolivarian Republic of"	782	1109	4313	1548	3388	
"Guinea"	102	105	144	288	3239	
"Malta"	368	764	1444	1146	3098	
"Macedonia, North"	5646	4964	5452	3695	2829	
"Papua New Guinea"	867	3863	55652	2571	2768	
"Albania"	1452	5445	5227	2744	2581	
"Lebanon"	3469	3665	8573	7238	2384	
